X,Y,rowid,cad_tot_houses,cad_tot_hab,cad_tot_hotels,cad_med_consq,cad_tot_parcs,cad_pk,cad_tot_srf_houses,cad_tot_srf_hotels,fc_tot_offer,fc_tot_owners,fc_avg_price,rn_ab_min_price,rn_fc_med_price,rn_fc_max_price,rn_fc_offer,rn_ab_tot_price,rn_fc_min_price,rn_ab_med_price,rn_ab_avg_price,rn_fc_avg_price,rn_ab_max_price,rn_ab_offer,rn_fc_tot_price,abnb_tot_beds,abnb_tot_hosts_listings,abnb_tot_price,abnb_tot_offer,abnb_tot_owners,abnb_pk,abnb_tot_reviews,abnb_tot_reviews_per_month,fl_n_tourists,fl_n_locals,fl_txt_madrid,fl_n_date,fl_n_user,fl_n_posts,fl_tag_madrid,h_cat3cod,h_id,h_web,h_title,h_zipcode,h_latitude,h_email,h_body,h_fax,h_phone,h_cat3txt,h_subadministrativearea,h_address,h_cat1txt,h_cat2txt,h_name,h_language,h_cat2cod,h_country,h_locality,h_longitude,h_cat1cod,local200_n_shops24h,local200_n_shops,local200_n_prox_fresco,local200_n_prox_supers,local200_n_epigrafes,local200_n_alquillercoche,local200_n_prox_alcohol,local200_n_fiesta,local200_n_prox_noalim,local200_n_alojamiento,local200_n_prox_educacion,local200_n_vacios,local200_n_locutoris,local200_n_restaurants,local200_n_desconocidos,local200_n_prox_pastelerias,local200_n_prox_supersbig,local200_n_agrupaciones,local200_n_locales,local200_n_sex,local300_n_shops24h,local300_n_shops,local300_n_prox_fresco,local300_n_prox_supers,local300_n_epigrafes,local300_n_alquillercoche,local300_n_prox_alcohol,local300_n_fiesta,local300_n_prox_noalim,local300_n_alojamiento,local300_n_prox_educacion,local300_n_vacios,local300_n_locutoris,local300_n_restaurants,local300_n_desconocidos,local300_n_prox_pastelerias,local300_n_prox_supersbig,local300_n_agrupaciones,local300_n_locales,local300_n_sex,tp_pricerange_tot,tp_rating_tot,tp_reviews_max,tp_reviews_min,tp_offers_tot,tp_reviews_med,tp_rating_avg,tp_pricerange_1,tp_pricerange_avg,tp_pricerange_3,tp_pricerange_2,tp_pricerange_0,tp_pricerange_med,tp_rating_min,tp_rating_med,tp_rating_max,tp_pk,tp_reviews_tot,tp_reviews_avg,rn_med_tramo
447000.0,4471548.967360191978514,4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,5
447000.0,4476052.299459870904684,4446,405,679,0,6,7,5043,31753,0,2,2,12.2222222222222,1520.83333333333,725.0,800.0,2,1520.83333333333,650.0,1520.83333333333,1520.83333333333,725.0,1520.83333333333,1,1450.0,4,1,50.0,1,1,2400,4,0.53,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,19,3,54,0,0,0,3,0,2,0,0,17,0,4,0,0,126,0,0,0,33,4,91,0,0,0,7,0,4,0,1,34,0,8,0,0,261,0,1,2,7,3,3,6.0,4.16666666666667,0,0.0,0,0,3,0.0,4.0,4.0,4.5,2032,16,5.33333333333333,3
447000.0,4480555.631559549830854,4447,29,36,0,3,7,5058,1340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,9
447000.0,4471722.17244094889611,4448,307,787,0,3.70731,2,5024,29480,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,,,,,,,,,,,,,,,,,,,,5
447000.0,4476225.50454062782228,4449,296,402,0,4,3,5044,24197,0,2,1,13.5714285714286,,950.0,950.0,2,,950.0,,,950.0,,,1900.0,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,29,0,0,0,1,0,0,0,0,12,0,2,0,0,63,0,0,0,13,2,59,0,0,0,2,0,2,0,0,27,0,3,0,0,150,0,1,1,4,4,1,4.0,3.5,0,0.0,0,0,1,0.0,3.5,3.5,3.5,2033,4,4.0,7
447000.0,4480728.83664030674845,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,
447000.0,4471895.377521705813706,4451,238,612,0,4.2551,2,5025,25764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,1,28,0,0,0,0,0,3,0,0,3,0,0,0,0,38,0,1,1,8,8,1,8.0,3.0,0,0.0,0,0,1,0.0,3.0,3.0,3.0,2028,8,8.0,8
447000.0,4476398.709621384739876,4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,37,0,0,0,2,1,47,0,0,0,0,0,0,0,0,20,0,2,0,0,104,0,1,1,8,8,1,8.0,4.0,0,0.0,0,0,1,0.0,4.0,4.0,4.0,2034,8,8.0,7
447000.0,4480902.041721063666046,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,25,0,,,,,,,,,,,,,,,,,,,,
447000.0,4472068.582602462731302,4454,231,554,0,4.44665,2,5026,23436,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,24,0,0,0,0,0,2,1,0,2,0,1,0,0,34,0,0,0,6,3,46,0,0,0,1,0,4,1,0,11,1,2,0,0,80,0,1,2,55,5,3,11.0,3.66666666666667,0,0.0,0,0,3,0.0,3.5,3.5,4.0,2029,71,23.6666666666667,7.5
